Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1764194488,2025-11-26T22:01:28Z,UBT795,"44.007462,0.683572",35000,576,184
1764194520,2025-11-26T22:02:00Z,UBT795,"43.924595,0.675528",34975,576,183
1764194553,2025-11-26T22:02:33Z,UBT795,"43.83609,0.666908",34975,576,183
1764194585,2025-11-26T22:03:05Z,UBT795,"43.751888,0.658787",34975,575,183
1764194617,2025-11-26T22:03:37Z,UBT795,"43.666977,0.650678",34975,575,183
1764194649,2025-11-26T22:04:09Z,UBT795,"43.580612,0.642445",34975,577,183
1764194680,2025-11-26T22:04:40Z,UBT795,"43.498901,0.634524",35000,580,184
1764194712,2025-11-26T22:05:12Z,UBT795,"43.412247,0.626157",35000,580,184
1764194743,2025-11-26T22:05:43Z,UBT795,"43.329567,0.618177",34975,579,184
1764194775,2025-11-26T22:06:15Z,UBT795,"43.243881,0.610124",34975,578,183
1764194807,2025-11-26T22:06:47Z,UBT795,"43.158905,0.602221",35000,577,183
1764194838,2025-11-26T22:07:18Z,UBT795,"43.075203,0.594504",34975,579,183
1764194870,2025-11-26T22:07:50Z,UBT795,"42.990601,0.586427",35000,584,183
1764194903,2025-11-26T22:08:23Z,UBT795,"42.902962,0.578156",34975,584,183
1764194934,2025-11-26T22:08:54Z,UBT795,"42.817677,0.570177",34975,586,183
1764194966,2025-11-26T22:09:26Z,UBT795,"42.730728,0.560989",35000,587,185
1764194999,2025-11-26T22:09:59Z,UBT795,"42.642929,0.545009",34975,586,189
1764195030,2025-11-26T22:10:30Z,UBT795,"42.558662,0.523703",35000,577,190
1764195061,2025-11-26T22:11:01Z,UBT795,"42.478638,0.503124",35025,570,190
1764195094,2025-11-26T22:11:34Z,UBT795,"42.394749,0.48589",34925,560,187
1764195126,2025-11-26T22:12:06Z,UBT795,"42.311794,0.47369",35025,564,185
1764195158,2025-11-26T22:12:38Z,UBT795,"42.227955,0.465769",34975,559,183
1764195190,2025-11-26T22:13:10Z,UBT795,"42.145138,0.457785",35000,562,184
1764195223,2025-11-26T22:13:43Z,UBT795,"42.061295,0.449503",34975,562,184
1764195255,2025-11-26T22:14:15Z,UBT795,"41.976929,0.441513",34975,560,183
1764195288,2025-11-26T22:14:48Z,UBT795,"41.892406,0.433385",35000,560,184
1764195320,2025-11-26T22:15:20Z,UBT795,"41.80838,0.425221",34975,561,184
1764195353,2025-11-26T22:15:53Z,UBT795,"41.72533,0.417417",34975,560,183
1764195385,2025-11-26T22:16:25Z,UBT795,"41.641571,0.409303",35000,565,184
1764195416,2025-11-26T22:16:56Z,UBT795,"41.55909,0.400809",34975,568,184
1764195448,2025-11-26T22:17:28Z,UBT795,"41.475082,0.392636",34975,566,184
1764195480,2025-11-26T22:18:00Z,UBT795,"41.392948,0.384841",34975,564,184
1764195512,2025-11-26T22:18:32Z,UBT795,"41.30999,0.376719",35000,566,184
1764195542,2025-11-26T22:19:02Z,UBT795,"41.230865,0.369141",34975,565,184
1764195574,2025-11-26T22:19:34Z,UBT795,"41.148102,0.361206",35000,563,184
1764195607,2025-11-26T22:20:07Z,UBT795,"41.062565,0.353185",34975,563,184
1764195637,2025-11-26T22:20:37Z,UBT795,"40.982574,0.345642",35000,566,184
1764195670,2025-11-26T22:21:10Z,UBT795,"40.897911,0.337455",34975,567,184
1764195703,2025-11-26T22:21:43Z,UBT795,"40.812424,0.329346",35000,566,184
1764195733,2025-11-26T22:22:13Z,UBT795,"40.732929,0.321849",34975,569,184
1764195765,2025-11-26T22:22:45Z,UBT795,"40.648018,0.313922",34975,574,184
1764195796,2025-11-26T22:23:16Z,UBT795,"40.565712,0.306057",35000,574,184
1764195829,2025-11-26T22:23:49Z,UBT795,"40.478165,0.297852",35000,574,184
1764195860,2025-11-26T22:24:20Z,UBT795,"40.396263,0.290077",34975,573,184
1764195892,2025-11-26T22:24:52Z,UBT795,"40.310303,0.282104",35000,573,184
1764195925,2025-11-26T22:25:25Z,UBT795,"40.225185,0.274346",34975,575,184
1764195956,2025-11-26T22:25:56Z,UBT795,"40.143219,0.266602",34975,573,184
1764195988,2025-11-26T22:26:28Z,UBT795,"40.057877,0.258616",35000,565,184
1764196019,2025-11-26T22:26:59Z,UBT795,"39.977051,0.251221",35000,562,184
1764196049,2025-11-26T22:27:29Z,UBT795,"39.897827,0.243896",35000,563,184
1764196080,2025-11-26T22:28:00Z,UBT795,"39.817154,0.236325",34975,561,184
1764196113,2025-11-26T22:28:33Z,UBT795,"39.734253,0.228862",34975,561,184
1764196143,2025-11-26T22:29:03Z,UBT795,"39.655563,0.221578",35000,559,184
1764196174,2025-11-26T22:29:34Z,UBT795,"39.575592,0.214294",34975,556,184
1764196206,2025-11-26T22:30:06Z,UBT795,"39.493057,0.20677",35000,557,184
1764196238,2025-11-26T22:30:38Z,UBT795,"39.410751,0.199366",34975,557,183
1764196270,2025-11-26T22:31:10Z,UBT795,"39.329704,0.192017",34975,557,184
1764196301,2025-11-26T22:31:41Z,UBT795,"39.248657,0.18457",35000,553,184
1764196332,2025-11-26T22:32:12Z,UBT795,"39.170822,0.177551",35000,549,183
1764196365,2025-11-26T22:32:45Z,UBT795,"39.086887,0.170044",34975,553,184
1764196395,2025-11-26T22:33:15Z,UBT795,"39.009285,0.163025",34975,552,183
1764196427,2025-11-26T22:33:47Z,UBT795,"38.927914,0.155762",34975,549,183
1764196459,2025-11-26T22:34:19Z,UBT795,"38.847843,0.14856",35000,549,184
1764196490,2025-11-26T22:34:50Z,UBT795,"38.768238,0.141418",35000,550,183
1764196522,2025-11-26T22:35:22Z,UBT795,"38.686119,0.134094",35000,554,184
1764196553,2025-11-26T22:35:53Z,UBT795,"38.608238,0.127075",35000,555,184
1764196585,2025-11-26T22:36:25Z,UBT795,"38.526535,0.119835",35000,555,183
1764196617,2025-11-26T22:36:57Z,UBT795,"38.442093,0.112366",35000,557,183
1764196650,2025-11-26T22:37:30Z,UBT795,"38.358948,0.104954",35000,558,183
1764196682,2025-11-26T22:38:02Z,UBT795,"38.276226,0.097802",34975,557,183
